2017-06-14 11:34:16,632 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:35:04,105 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 11:35:04,107 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-14 11:35:04,108 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 11:35:04,108 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-14 14:36:32,004 [Worker-10] ERROR o.e.m.c.i.p.ProjectConfigurationManager - Project RHBI already exists
2017-06-14 14:36:32,042 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 0 sec
2017-06-14 15:16:37,922 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-14 15:17:00,962 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RHBI:RHBI:1.0 @ D:\RHB\RHB W2\pom.xml.
2017-06-14 15:17:08,831 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:09,042 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:10,117 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:10,128 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:11,107 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-tools:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:12,210 [Worker-5] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-14 15:17:12,388 [Worker-5] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/sonatype/sisu/inject/guice-bean-containers/2.3.0/guice-bean-containers-2.3.0.pom
2017-06-14 15:17:12,398 [Worker-5] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-14 15:17:12,401 [Worker-5] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/sonatype/sisu/inject/guice-plexus-shim/2.3.0/guice-plexus-shim-2.3.0.pom
2017-06-14 15:17:19,441 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RHBI/src/main/java
2017-06-14 15:17:19,442 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RHBI/src/main/resources
2017-06-14 15:17:19,442 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RHBI/src/test/java
2017-06-14 15:17:19,442 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RHBI/src/test/resources
2017-06-14 15:17:26,809 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for RHBI
2017-06-14 15:17:26,823 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 49 sec
2017-06-14 15:17:45,169 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RHBI:RHBI:1.0 @ D:\RHB\RHB W2\pom.xml.
2017-06-14 15:17:45,519 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:45,531 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:48,356 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:48,368 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:48,737 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Processing: file:/D:/RHB/RHB%20W2/src/main/webapp/WEB-INF/wsdl/premium/motor/premium_service.wsdl
2017-06-14 15:17:48,810 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252), build is platform dependent!
2017-06-14 15:17:48,814 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - jaxws:wsimport args: [-keep, -s, D:\RHB\RHB W2\generated\java\source, -d, D:\RHB\RHB W2\target\classes, -verbose, -Xnocompile, -target, 2.1, "file:/D:/RHB/RHB%20W2/src/main/webapp/WEB-INF/wsdl/premium/motor/premium_service.wsdl"]
2017-06-14 15:17:48,839 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Invalid POM for com.sun.xml.ws:jaxws-tools:jar:2.2.8, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 15:17:48,872 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 15:17:48,876 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-14 15:17:49,676 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 15:17:49,677 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
